"";"year";"ifs";"pop";"rgdpmad";"rgdppc";"rconpc";"gdp";"iy";"cpi";"ca";"imports";"exports";"narrowm";"money";"stir";"ltrate";"debtgdp";"revenue";"expenditure";"xrusd";"peg";"peg_strict";"crisisJST";"tloans";"tmort";"thh";"tbus";"hpnom";"peg_type";"peg_base";"eq_tr";"housing_tr";"bond_tr";"bill_rate";"rent_ipolated";"housing_capgain_ipolated";"housing_capgain";"housing_rent_rtn";"housing_rent_yd";"eq_capgain";"eq_dp";"eq_capgain_interp";"eq_tr_interp";"eq_dp_interp";"bond_rate";"eq_div_rtn";"capital_tr";"risky_tr";"safe_tr";"COUNTRY";"geo";"Yd_hh"
"633";1914;172;3069,5;2000,61709793646;8,91419487241567;10,3131;15,746;0,132;0,0693;-0,98;3,802;2,852;7,817;12,9618398814009;6;4,73684210526316;0,108723954198764;1,68;1,86;0,058812;0;0;0;9,64;NA;NA;NA;0,0224630817549472;"FLOAT";"HYBRID";0,0264663863927126;NA;0,0282876249402761;0,0500000007450581;NA;NA;0,0649504587054253;NA;NA;-0,0242276377975941;0,0605853572487831;NA;NA;NA;0,0473684221506119;0,0591175183653831;NA;NA;0,0391438119113445;"Finland";"FI";NA
"634";1915;172;3096,3;1881,67758676614;8,37220357807975;10,2928;17,282;0,119;0,0834;-3,225;5,784;2,665;9,556;13,8123603941029;5,5;6,12244897959184;0,103806829031194;1,94;1,99;0,0720986;0;0;0;10,07;NA;NA;NA;0,0256133920010679;"FLOAT";"HYBRID";0,255321383476257;NA;-0,0617567971348763;0,0399999991059303;NA;NA;0,140230596065521;NA;NA;0,194347038865089;0,0280649848282337;NA;NA;NA;0,061224490404129;0,0335193313658237;NA;NA;-0,010878399014473;"Finland";"FI";NA
"635";1916;172;3114,2;1893,03703703704;8,4277384904433;10,7477;24,277;0,121;0,1106;-4,649;9,628;5,106;13,383;15,7759254778475;5;6,25;0,0813533908917155;3,04;2,68;0,0739545;0;0;0;11,89;NA;NA;NA;0,0253394519796661;"FLOAT";"HYBRID";0,896595299243927;NA;0,0417878292500973;0,0399999991059303;NA;NA;-0,0106976926326752;NA;NA;0,809254169464111;0,0308370366692543;NA;NA;NA;0,0625;0,0557920373976231;NA;NA;0,0408939123153687;"Finland";"FI";NA
"636";1917;172;3134,3;1580,88892445583;7,02506123423064;9,352;37,657;0,113;0,2154;-7,923;12,319;4,449;22,345;22,5873;5;8,10810810810811;0,0638652695087818;4,4;4,88;0,0640195;0;0;0;17,95;NA;NA;NA;0,0272570321294787;"FLOAT";"HYBRID";0,115403935313225;NA;-0,204553991556168;0,0399999991059303;NA;NA;0,0756935924291611;NA;NA;0,0686495378613472;0,0657415017485619;NA;NA;NA;0,0810810774564743;0,0702546238899231;NA;NA;-0,0822769999504089;"Finland";"FI";NA
"637";1918;172;3115,3;1369,8016;6,09064426181063;7,1636;54,02;0,103;0,7354;-3,15;5,046;2,269;40,46;40,7419;5;6,66666666666667;0,194039244724176;4,7;10,85;0,0883679;0;0;0;27,43;NA;NA;NA;0,0304073423755993;"FLOAT";"HYBRID";0,339631736278534;NA;0,342924296855927;0,0399999991059303;NA;NA;0,1155666410923;NA;NA;0,280787944793701;0,0422735027968884;NA;NA;NA;0,0666666701436043;0,0541433915495872;NA;NA;0,191462144255638;"Finland";"FI";NA
"638";1919;172;3118;1658,22938723131;7,36752652713919;8,9949;85,8;0,101;0,652;-16,593;25,099;8,804;44,85;48,7892;7;7,82608695652174;0,213986762191476;10,39;16,82;0,282375;0;0;0;41,441;NA;NA;NA;0,0405431231674657;"FLOAT";"HYBRID";0,029847152531147;NA;-0,168428167700768;0,0500000007450581;NA;NA;0,333344310522079;NA;NA;-0,0041992524638772;0,0501658171415329;NA;NA;NA;0,0782608687877655;0,0499551594257355;NA;NA;-0,0592140853404999;"Finland";"FI";NA
"639";1920;172;3147,6;1845,52984360038;8,20654545881348;9,3172;136,661;0,114;0,652;-7,3;36,265;29,264;49,13;59,9202;9;10,3448275862069;0,14167172785213;17,34;20,9;0,31042375;0;0;0;50,8571;NA;NA;NA;0,0478025337346133;"FLOAT";"HYBRID";-0,0481389202177525;0,243915483355522;-0,07952019572258;0,0649999976158142;NA;NA;0,179069131612778;0,0648463517427444;0,0549979209899902;-0,0922721400856972;0,0820011347532272;NA;NA;NA;0,103448279201984;0,0744347125291824;0,14318773150444;0,16776005923748;-0,00726009905338287;"Finland";"FI";NA
"640";1921;172;3193,2;1884,45268138801;8,38166975632353;9,6336;161,047;0,106;0,8113;-2,44;35,857;33,894;41,88;54,7612;9;7,4;0,120076524101925;22,83;27;0,579354;0;0;1;53,3502;NA;NA;NA;0,0539661842161537;"FLOAT";"HYBRID";-0,225818008184433;0,214203596115112;0,0644156113266945;0,0649999976158142;NA;NA;0,128924965858459;0,0852786302566528;0,0755396783351898;-0,282119989395142;0,0889443084597588;NA;NA;NA;0,0740000009536743;0,0638513416051865;0,1480982452631;0,157679215073586;0,0647078007459641;"Finland";"FI";NA
"641";1922;172;3227,8;2058,01433021807;9,16115694482024;10,5756;176,895;0,119;0,7907;4,67;39,699;44,676;55,36;70,499;8;6,9;0,106158720826703;26,69;25,6;0,4206654;0;0;0;57,9336;NA;NA;NA;0,061636504815404;"FLOAT";"HYBRID";0,141665115952492;0,241848915815353;0,526369214057922;0,0649999976158142;NA;NA;0,142145052552223;0,0997038558125496;0,087295264005661;0,0536119267344475;0,0701223611831665;NA;NA;NA;0,0689999982714653;0,0738817527890205;0,235883519053459;0,230285584926605;0,295684605836868;"Finland";"FI";NA
"642";1923;172;3258,6;2186,7992599445;9,74269582826353;11,2794;189,908;0,138;0,7973;-2,35;46,003;43,925;61,46;78,847;10;8;0,127177236159365;30,63;35;0,383643;0;0;0;64,9091;NA;NA;NA;0,069580765436056;"FLOAT";"HYBRID";0,0469657406210899;0,236567199230194;0,331677198410034;0,0649999976158142;NA;NA;0,128883630037308;0,107683561742306;0,0953894257545471;-0,0377952419221401;0,0834499821066856;NA;NA;NA;0,0799999982118607;0,0802959725260735;0,21574679017067;0,217650979757309;0,198338598012924;"Finland";"FI";NA
"643";1924;172;3286,2;2224,04370415648;9,90793322849674;11,2612;201,233;0,141;0,8113;1,69;47,155;49,706;67,02;86,971;9;8,6;0,113271511226025;31,58;31,5;0,4258584;0;0;0;67,2509;NA;NA;NA;0,0771141160246054;"FLOAT";"HYBRID";-0,0355240069329739;0,221566423773766;0,167154356837273;0,0700000002980232;NA;NA;0,108262315392494;0,113304108381271;0,102235823869705;-0,115604139864445;0,0963632687926292;NA;NA;NA;0,0860000029206276;0,0852232724428177;0,192621693015099;0,199935048818588;0,118577182292938;"Finland";"FI";NA
"644";1925;172;3322,1;2328,19491525424;10,3765090515642;11,3135;216,966;0,131;0,846;0,36;55,195;55,735;67,64;90,821;7,5;7;0,114087210138381;33,16;39,5;0,3992888;0;0;0;69,11;NA;NA;NA;0,134641520518982;"FLOAT";"HYBRID";0,378204643726349;0,857085227966309;0,0965774282813072;0,0649999976158142;NA;NA;0,746012389659882;0,111072868108749;0,0636151656508446;0,263862788677216;0,0746525004506111;NA;NA;NA;0,0700000002980232;0,0943505167961121;0,748409152030945;0,811767280101776;0,080788716673851;"Finland";"FI";NA
"645";1926;172;3355,2;2391,80892482779;10,6653326677579;11,9775;226,325;0,151;0,8253;-0,52;56,677;56,365;74,02;100,084;7,5;6,7;0,125783829257775;34,24;40,8;0,3968853;1;1;0;80,9012;NA;NA;NA;0,197373785419994;"PEG";"HYBRID";0,383016049861908;0,53298008441925;0,0713389217853546;0,0649999976158142;NA;NA;0,465917021036148;0,0670630559325218;0,0457481928169727;0,280368834733963;0,0695849731564522;NA;NA;NA;0,0670000016689301;0,0890944302082062;0,476859450340271;0,516579449176788;0,0681694597005844;"Finland";"FI";NA
"646";1927;172;3380,6;2557,11757719715;11,4045360088394;12,5359;253,279;0,153;0,8394;-0,99;63,859;63,244;84,82;119,56;6;6,2;0,10640452592342;39,08;39,9;0,3988523;1;1;0;95,98;51,301;NA;NA;0,386118460165831;"PEG";"HYBRID";0,740195095539093;NA;0,107032336294651;0,0599999986588955;NA;NA;NA;NA;NA;0,640038371086121;0,0573362000286579;NA;NA;NA;0,061999998986721;0,0940335690975189;NA;NA;0,0835161656141281;"Finland";"FI";NA
"647";1928;172;3412,1;2707,23527679623;12,082104011578;13,6766;273,405;0,195;0,86;-18,22;80,129;62,453;88,8;130,73;7;7,2;0,107518150728772;44,76;50,4;0,3964095;1;1;0;117,5775;64,565;NA;NA;0,444741624745815;"PEG";"HYBRID";-0,0817794352769852;0,177324533462524;0,0410837233066559;0,0700000002980232;NA;NA;0,151829227805138;0,0254953131079674;0,022134630009532;-0,127774834632874;0,0665043890476227;NA;NA;NA;0,0719999969005585;0,0580068007111549;0,133431077003479;0,139591738581657;0,0555418618023396;"Finland";"FI";NA
"648";1929;172;3435,3;2716,81775700935;12,1294349027969;13,3999;265,205;0,165;0,8534;-6,25;70,014;64,297;88,81;133,85;7;7,5;0,114009787888854;43,02;45,1;0,3996519;1;1;0;121,4606;69,113;NA;NA;0,483127470244741;"PEG";"HYBRID";-0,152184039354324;0,108987897634506;0,0610729828476906;0,0700000002980232;NA;NA;0,0863084644079208;0,0226794350892305;0,0208775270730257;-0,206509232521057;0,0859172642230988;NA;NA;NA;0,0750000029802322;0,0681745558977127;0,0758161023259163;0,0767504423856735;0,0655364915728569;"Finland";"FI";NA
"649";1930;172;3462,7;2665,63380690055;11,8950944013841;12,4463;240,112;0,138;0,7841;0,98;52,477;53,454;89,98;138,2;6;7,1;0,127319644732754;42,75;47,4;0,3967953;1;1;0;119,6704;80,188;NA;NA;0,385947247652455;"PEG";"HYBRID";-0,0404876992106438;-0,180069804191589;0,0755859017372131;0,0599999986588955;NA;NA;-0,201147943735123;0,021078135818243;0,0263855308294296;-0,10355868935585;0,0865965113043785;NA;NA;NA;0,0710000023245811;0,0776286870241165;-0,142417952418327;-0,163267478346825;0,0677929520606995;"Finland";"FI";NA
"650";1931;172;3489,6;2580,59723820483;11,5125556205768;11,5706;213,148;0,108;0,7213;9,39;34,647;44,031;86,78;136,01;8;8,3;0,152110342161476;37,56;42,5;0,518175;1;1;1;117,3081;88,223;NA;NA;0,353177172592265;"PEG";"HYBRID";0,0802667886018753;-0,059724286198616;0,0839056670665741;0,0549999997019768;NA;NA;-0,0849080309271812;0,0251837428659201;0,0275204498320818;-0,0096793482080102;0,084172360599041;NA;NA;NA;0,0829999968409538;0,0833576247096062;-0,033084649592638;-0,0437590591609478;0,0694528371095657;"Finland";"FI";NA
"651";1932;172;3516;2549,76363117328;11,3719302837775;10,9585;214,896;0,115;0,7147;10,49;35,023;45,516;82,55;131,97;6,5;7,1;0,16156157106401;24,38;30;0,64883;0;0;0;113,2869;80,0033;NA;NA;0,320407097532075;"FLOAT";"HYBRID";0,00964010879397392;-0,0672064274549484;0,0810000002384186;0,0500000007450581;NA;NA;-0,0927863344550133;0,0255799051374197;0,0281961187720299;-0,0672902092337608;0,0835626795887947;NA;NA;NA;0,0710000023245811;0,0779397264122963;-0,0477928966283798;-0,0596452206373215;0,0654999986290932;"Finland";"FI";NA
"652";1933;172;3536,6;2701,64463981849;12,0601214421008;11,4672;230,542;0,103;0,6933;13,31;39,281;52,592;86,98;138,85;4,5;5,9;0,152150216511619;28,73;32,5;0,53572;0;0;0;106,522;72,5494;NA;NA;0,307874341552943;"FLOAT";"HYBRID";0,436654090881348;-0,0135773234069347;0,165937632322311;0,0450000017881393;NA;NA;-0,0391158759593964;0,0255385525524616;0,0265781823545694;0,34372940659523;0,06094616279006;NA;NA;NA;0,0590000003576279;0,081895150244236;0,0469809919595718;0,0411386638879776;0,105468817055225;"Finland";"FI";NA
"653";1934;172;3561,6;2988,37418991265;13,3461543463983;12,6215;261,274;0,119;0,6867;13,95;47,764;61,714;89,35;145,81;4;5,4;0,129435197432883;33,67;41;0,450595;0;0;0;99,4174;65,79;NA;NA;0,333658946067387;"FLOAT";"HYBRID";0,15350878238678;0,108553603291512;0,0790981352329254;0,0399999991059303;NA;NA;0,0837517976760864;0,0248018056154251;0,0228851344436407;0,0893955826759338;0,0617458075284958;NA;NA;NA;0,0540000014007092;0,0672656074166298;0,109609633684158;0,114235185086727;0,0595490671694279;"Finland";"FI";NA
"654";1935;172;3589,6;3092,66191275168;13,8174648431806;13,0259;274,964;0,141;0,6933;8,48;53,444;61,929;93,66;155,62;4;5,2;0,115142387782542;34,82;45,3;0,46308;0;0;0;106,1145;69,49;NA;NA;0,34475351693416;"FLOAT";"HYBRID";0,129744470119476;0,0559509135782719;0,0633101165294647;0,0370999984443188;NA;NA;0,0332525111734867;0,0226984024047852;0,0219679139554501;0,0693116784095764;0,0531934276223183;NA;NA;NA;0,0520000010728836;0,0568803548812866;0,0636156424880028;0,0647034794092178;0,0502050593495369;"Finland";"FI";NA
"655";1936;172;3612,4;3278,77589558456;14,6487004727434;13,934;302,906;0,153;0,6933;7,9;63,69;71,595;101,98;172,6;4;5,1;0,102975908681841;37,25;48,6;0,456724;0;0;0;113,6811;75,24;NA;NA;0,345712307009066;"FLOAT";"HYBRID";0,455790132284164;0,025014178827405;0,0701414719223976;0,0363500006496906;NA;NA;0,00277879298664629;0,0222353860735893;0,0221737697720528;0,388012915849686;0,042709793895483;NA;NA;NA;0,0509999990463257;0,0592817440629005;0,09096509963274;0,0937630832195282;0,0532457381486893;"Finland";"FI";NA
"656";1937;172;3640,2;3441,17953667954;15,3794894331637;15,3213;356,627;0,18;0,728;-0,24;93,064;92,825;121;206,35;4;5,1;0,0968098321215163;43,16;59;0,459221;0;0;0;132,0892;82,2;NA;NA;0,293663702942725;"FLOAT";"HYBRID";-0,010937025770545;-0,119918249547482;0,0564009286463261;0,0340999998152256;NA;NA;-0,150553062558174;0,0306348148733377;0,0360644236207008;-0,0511928163468838;0,049802727997303;NA;NA;NA;0,0509999990463257;0,0472531877458096;-0,0944628119468689;-0,104631371796131;0,0452504642307758;"Finland";"FI";NA
"657";1938;172;3672,1;3589,44365426696;16,0498000325821;15,9788;384,656;0,183;0,7494;-2,73;86,073;83,98;129;223,62;4;5,1;0,0876446358768727;48,62;54,3;0,464215;0;0;0;146,5776;91,03;NA;NA;0,247093899304419;"FLOAT";"HYBRID";0,0190397929400206;-0,12051460146904;0,0469999983906746;0,033950001001358;NA;NA;-0,158582597970963;0,0380680002272129;0,0452427081763744;-0,030371954664588;0,0518923290073872;NA;NA;NA;0,0509999990463257;0,050316259264946;-0,0937991887331009;-0,102526351809502;0,0404749996960163;"Finland";"FI";NA
"658";1939;172;3699,7;3407,69777536625;15,234341366759;15,1386;374,325;0,199;0,7626;1,38;75,726;77,103;144;240,53;4;NA;0,150572363587791;47,09;83,6;0,444235;0;0;0;157,854;98,89;NA;NA;0,193675595131069;"FLOAT";"HYBRID";-0,0556310974061489;-0,168808132410049;0,0469999983906746;0,0336499996483326;NA;NA;-0,216184929013252;0,0473767966032028;0,0604438446462154;-0,0992913246154785;0,0587462522089481;NA;NA;NA;NA;0,0529132597148418;-0,135862156748772;-0,155341491103172;0,0403250008821487;"Finland";"FI";NA
"659";1940;172;3695,617;3220,41535965387;14,3809128082025;12,7076;428,602;0,225;0,9079;-62,9;91,642;28,746;178;288,3;4;NA;0,389799769996461;51,82;210;0,498701;1;1;0;177,63;100,33;NA;NA;0,182717994274998;"PEG";"USA";0,218782991170883;0,0060429759323597;0,0469999983906746;0,0315999984741211;NA;NA;-0,0565790273249149;0,0626220032572746;0,066377580165863;0,181247979402542;0,0376043207943439;NA;NA;NA;NA;0,044420026242733;0,0347337462007999;0,0333445072174072;0,0392999984323978;"Finland";"FI";NA
"660";1941;172;3707,815;3322,21096704484;14,847910934896;12,3356;531,06;0,101;1,0729;-58,8;102,011;43,215;207;326,7;4;NA;0,512844123074606;119,67;310;0,48608;1;1;0;172,629;102,08;NA;NA;0,186416184563922;"PEG";"USA";0,4565349817276;0,0889252051711082;0,0469999983906746;0,030850000679493;NA;NA;0,0202388372272253;0,0686863660812378;0,067323811352253;0,411797791719437;0,0365466065704823;NA;NA;NA;NA;0,0515964180231094;0,11453952640295;0,14609669148922;0,0389249995350838;"Finland";"FI";NA
"661";1942;172;3708,801;3327,17340884574;14,8238247702534;12,1578;658,368;0,11;1,2628;-57,4;117,315;59,906;254;401,7;4;NA;0,556760302791282;171,85;280;0,485688;1;1;0;187,116;105,07;NA;NA;0,207167141185108;"PEG";"USA";0,307039946317673;0,180902361869812;0,0469999983906746;0,030850000679493;NA;NA;0,111315555870533;0,0695867985486984;0,0626165941357613;0,276014506816864;0,0229563657194376;NA;NA;NA;NA;0,029292656108737;0,153133735060692;0,202059701085091;0,0389249995350838;"Finland";"FI";NA
"662";1943;172;3732,532;3696,72588013975;16,5044921275586;12,9733;843,431;0,107;1,4278;-41,7;128,804;87,127;294;497,9;4;NA;0,61204658259497;220,39;340;0,485688;1;1;0;223,717;114,79;NA;NA;0,220453232223095;"PEG";"USA";-0,0151485092937946;0,127766579389572;0,0469999983906746;0,0313500016927719;NA;NA;0,0641318336129189;0,0636347532272339;0,0597996860742569;-0,0377057902514935;0,0317673571407795;NA;NA;NA;NA;0,0305695440620184;0,0847239717841148;0,107364915311337;0,0391750000417233;"Finland";"FI";NA
"663";1944;172;3737,096;3684,57991967872;16,4424360701827;11,9207;946,386;0,083;1,5186;-25,8;89,185;63,321;375;636,9;4;NA;0,711354939398374;236,4;440;0,485688;1;0;0;241,061;109,2;NA;NA;0,240450853785426;"PEG";"USA";-0,0406284369528294;0,152904883027077;0,0469999983906746;0,031649999320507;NA;NA;0,0907132104039192;0,0621916763484478;0,0570192746818066;-0,0668997317552567;0,0376025326550007;NA;NA;NA;NA;0,0350869335234165;0,0970359519124031;0,129685133695602;0,0393249988555908;"Finland";"FI";NA
"664";1945;172;3778,89;3449,51596593933;15,38516914011;13,7341;1458,015;0,123;2,1294;-16;68,205;52,278;417;783,45;4;NA;0,586451482766054;337,34;430;1,357107;0;0;0;296,948;135,38;NA;NA;0,59047771613157;"FLOAT";"USA";1,05616772174835;NA;0,0469999983906746;0,031199999153614;NA;NA;NA;NA;NA;1,01692461967468;0,0219001490622759;NA;NA;NA;NA;0,0441709496080875;NA;NA;0,0390999987721443;"Finland";"FI";NA
"665";1946;172;3833,072;3682,99159222281;16,4232933541786;14,6116;2187,894;0,167;3,3922;71,3;242,74;230,505;495;923,2;4;NA;0,478857685218157;664;1000;4;0;0;0;478,305;190,81;NA;NA;0,593628026377691;"FLOAT";"USA";-0,187480583786964;0,0298039726912975;0,0469999983906746;0,030850000679493;NA;NA;0,00533466087654233;0,0244693122804165;0,0243394691497087;-0,205106392502785;0,0280427951365709;NA;NA;NA;NA;0,022291038185358;0,013802245259285;0,00506331445649266;0,0389249995350838;"Finland";"FI";NA
"666";1947;172;3885,284;3716,8450375745;16,5700191169573;15,6571;2974,164;0,178;4,4073;105,9;469,705;452,281;630;1192,2;5,25;NA;0,5255;702,07;880;4,1;0;0;0;653,025;227,77;NA;NA;0,72772166685387;"FLOAT";"USA";-0,00198974669910967;0,25410982966423;-0,00459965784102678;0,0303000006824732;NA;NA;0,225888937711716;0,0282209031283855;0,0230207666754723;-0,0445833392441273;0,0325257778167725;NA;NA;NA;NA;0,031075669452548;0,174089953303337;0,235231816768646;0,0128501709550619;"Finland";"FI";NA
"667";1948;172;3937,84;3957,1950408998;17,638435101406;17,3164;4102,606;0,216;5,9342;118,8;663,692;565,048;715;1368;7,25;12;0,3901;994,34;1050;5,4;1;1;0;883,464;285,36;517,4191;366,0449;0,844803100078625;"PEG";"USA";-0,252988547086716;0,188056036829948;-0,128676697611809;0,0519500002264977;NA;NA;0,160886988043785;0,0271690506488085;0,0234037004411221;-0,293779283761978;0,0422491393983364;NA;NA;NA;0,119999997317791;0,029837217181921;0,121540762484074;0,169940754771233;-0,0383633486926556;"Finland";"FI";NA
"668";1949;172;3987,996;4143,25763310623;18,5051163095038;18,0148;4438,435;0,222;6,0144;198,55;662,776;656,062;840;1668,9;5,75;9,4;0,2664;1114,02;1330;3,61;1;1;0;1186,04;392,39;707,1926;478,8474;0,977024373806582;"PEG";"USA";0,428936541080475;0,188559472560883;0,215052053332329;0,0430999994277954;NA;NA;0,156511038541794;0,0320484414696693;0,0277113150805235;0,338089406490326;0,0474622547626495;NA;NA;NA;0,0939999967813492;0,0635087415575981;0,188822537660599;0,199992090463638;0,129076033830643;"Finland";"FI";NA
"669";1950;172;4029,803;4253,28643767617;19,0130293621621;19,4987;5472,587;0,223;6,8965;45;891,475;814,787;954;1912,1;7,75;12,8;0,2548;1300;1430;5;1;1;0;1383,048;501,36;807,1403;575,9077;1,10016174323262;"PEG";"USA";0,836326599121094;0,163328379392624;-0,0302758738398552;0,0616500005125999;NA;NA;0,126031711697578;0,0372966602444649;0,0331222116947174;0,757196962833405;0,0415408238768578;NA;NA;NA;0,128000006079674;0,0729954093694687;0,180253356695175;0,210340723395348;0,0156870633363724;"Finland";"FI";NA
"670";1951;172;4064,727;4571,19561188941;20,4375840080937;20,817;7982,225;0,228006599312766;8,019;874,35;1554,641;1868,833;1343;2635,6;5,75;9,3;0,1917;1680;2070;4,35;0;0;0;1822,528;616,14;1071,9594;750,5687;1,75117488487027;"FLOAT";"USA";0,136829599738121;0,644903540611267;0,272448182106018;0,0594500005245209;NA;NA;0,59174120426178;0,0531623065471649;0,03339883685112;0,0915461629629135;0,0436905510723591;NA;NA;NA;0,0930000022053719;0,0476902537047863;0,548524856567383;0,610982954502106;0,165949091315269;"Finland";"FI";NA
"671";1952;172;4116,228;4674,48967118934;20,927195782814;21,8916;8279,005;0,262833520004318;8,099;-219,45;1821,863;1568,292;1340;2910,7;5,75;10,8;0,1312;1630;2040;3,85;0;0;0;2302,1951;784,44;1337,022;965,173;2,4758685836235;"FLOAT";"USA";-0,128336220979691;0,458556801080704;0,0403063483536243;0,0480999983847141;NA;NA;0,413837611675262;0,0447191819548607;0,0316296443343163;-0,177298277616501;0,0624459944665432;NA;NA;NA;0,108000002801418;0,0513744279742241;0,386403173208237;0,426451742649078;0,0442031733691692;"Finland";"FI";NA
"672";1953;172;4162,609;4651,64033434797;20,8522026151716;21,2155;8150,919;0,270153589676865;8,26;209,35;1218,6021;1315,552;1480;3244,5;5,75;10,8;0,1831;1740;2210;3,95;0;0;0;2465,156;976,42;1369,96;1095,196;2,29620914298551;"FLOAT";"USA";0,368084996938705;-0,0275640338659286;0,106131225824356;0,0487499982118607;NA;NA;-0,0725643932819366;0,045000359416008;0,048521276563406;0,287851512432098;0,0533731430768967;NA;NA;NA;0,108000002801418;0,0687366798520088;0,0104042589664459;8,61068838275969e-05;0,0774406120181084;"Finland";"FI";NA
"673";1954;172;4211,191;5001,55246124818;22,429898989136;22,4492;9041,366;0,261022499011267;8,26;198,24;1521,368;1566,181;1659;3733;5,75;12,6;0,1895;1800;2140;3,54;0;0;0;2920,7991;1176,34;1609,0227;1311,7762;2,83115017409862;"FLOAT";"USA";0,0544892996549606;0,298347234725952;0,0494054183363914;0,0493500009179115;NA;NA;0,232966497540474;0,0653807297348976;0,0530271716415882;-6,45004911348224e-05;0,0511058121919632;NA;NA;NA;0,126000002026558;0,0511025153100491;0,24484795331955;0,280256181955338;0,0493777096271515;"Finland";"FI";NA
"674";1955;172;4258,571;5196,8169260195;23,2857466821326;24,1063;10006,85;0,253826139247661;8,019;229,12;1769,601;1812,593;1899;4263;5,75;14,2;0,1704;1930;2430;3,58;0;0;0;3367,2539;1467,3101;1806,9912;1560,2627;2,95933415702572;"FLOAT";"USA";0,603461980819702;0,108561307191849;0,0692126005887985;0,0548500008881092;NA;NA;0,0452748872339725;0,0632864236831665;0,0605452433228493;0,529502987861633;0,0424313209950924;NA;NA;NA;0,142000004649162;0,0648988336324692;0,146359622478485;0,159961238503456;0,0620312988758087;"Finland";"FI";NA
"675";1956;172;4304,832;5295,32662260317;23,705729456882;24,8632;11126,386;0,257046634649741;8,901;-204,06;2035,578;1779,865;1957;4444;7,5;15,4;0,1659;2370;2790;3,58;0;0;0;3599,894;1554,26;1916,6897;1683,2043;3,33883949230596;"FLOAT";"USA";0,0238855630159378;0,207533150911331;0,0911702737212181;0,0510499998927116;NA;NA;0,128241866827011;0,0792912840843201;0,0702786222100258;-0,012450885027647;0,0521554835140705;NA;NA;NA;0,153999999165535;0,0515061020851135;0,177911758422852;0,192742824554443;0,0711101368069649;"Finland";"FI";NA
"676";1957;172;4343,19;5490,05550416281;24,6442484398743;24,1363;12180,226;0,239732833848332;9,905;-41,8;2279,2729;2123,854;2016;4539;7,5;15,5;0,1689;2420;3010;3,8;0;0;0;3618,3479;1622,1;1869,9139;1748,4341;3,56290913175334;"FLOAT";"USA";-0,151613831520081;0,158834874629974;0,144502833485603;0,049150001257658;NA;NA;0,0671101361513138;0,0917247384786606;0,0859562084078789;-0,186784014105797;0,0488562881946564;NA;NA;NA;0,155000001192093;0,0397307127714157;0,136887177824974;0,14193369448185;0,0968264192342758;"Finland";"FI";NA
"677";1958;172;4376,314;5474,33368503142;24,5231865381121;23,2978;13178,269;0,244341658053623;10,559;283,92;2333,0391;2479,344;2271;5106;7,25;15,5;0,1606;2480;3330;3,64;1;0;0;3998,635;1820,3;2232,1763;1766,4586;3,55685319555206;"PEG";"USA";0,0586459264159203;0,0984746962785721;0,148152604699135;0,0419499985873699;NA;NA;-0,00170085683930665;0,100175552070141;0,100346229970455;0,00577597972005606;0,0579256638884544;NA;NA;NA;0,155000001192093;0,0582602396607399;0,0963250026106834;0,096474900841713;0,0950513035058975;"Finland";"FI";NA
"678";1959;172;4413,046;5753,5212870048;25,808167644827;24,7891;14190,642;0,252983628308955;10,722;98;2673,002;2673,219;2754;5962;6,75;15,8;0,1505;2820;3550;3,5;1;0;0;4582,6968;2156,5;2587,1321;1995,5648;4,17556801078288;"PEG";"USA";0,431543052196503;0,285090178251266;0,125456139445305;0,0398500002920628;NA;NA;0,173951670527458;0,111138515174389;0,0946704372763634;0,362360417842865;0,0514630191028118;NA;NA;NA;0,158000007271767;0,0701111778616905;0,273774057626724;0,294341921806335;0,0826530680060387;"Finland";"FI";NA
"679";1960;172;4446,222;6230,35940039733;27,9717152723236;26,6308;16199;0,283350824124946;11,068;-141,9;3402,998;3164,7351;3087;6850;6,75;16,4;0,1279;3140;4000;3,3;1;0;0;5562,2368;2647,3;3121,2778;2440,9592;4,58434370436931;"PEG";"USA";0,14852936565876;0,208172395825386;0,128757625818253;0,0406000018119812;NA;NA;0,0978956148028374;0,110276781022549;0,10044377297163;0,0984079837799072;0,048846673220396;NA;NA;NA;0,164000004529953;0,0536535754799843;0,194538339972496;0,204430818557739;0,0846788138151169;"Finland";"FI";NA
"680";1961;172;4475,787;6657,91826234632;29,9624525569919;28,4739;18362;0,279381331009694;11,268;-251,082;3690,2061;3374,0491;3517;7847;6,75;20,9;0,1013;3280;4470;3,219;1;0;0;6583,5181;3091,5;3749,8359;2833,6821;4,64894035718297;"PEG";"USA";-0,0077870381064713;0,128733769059181;0,00259500741958618;0,0416000001132488;NA;NA;0,0140914507210255;0,114642322063446;0,113049291074276;-0,0535850077867508;0,0559955723583698;NA;NA;NA;0,209000006318092;0,0529950484633446;0,115311093628407;0,121571235358715;0,0220975037664175;"Finland";"FI";NA
